OBJECTID,NAME,Population,Population density,Population Growth Rate
92,Rosemont West,1593,4018.7,-0.19
93,Saguaro Miraflores,690,2540.5,0.02
94,Sam Hughes,4861,4802.9,0.23
95,Samos,1027,3890.2,-0.12
96,San Carlos,186,2064.4,-0.34
97,San Clemente,708,3683.7,0.23
98,San Gabriel,884,3586.2,-0.27
99,San Ignacio Yaqui,598,2547.9,0.13
100,Santa Cruz Southwest,2922,3460.9,0.25
101,Santa Rita Park - West Ochoa,2012,5040.1,0.47
102,Sewell,721,1860.2,-0.82
103,South Harrison,6496,3840.8,0.12
104,South Park,3679,2237.3,0.31
105,Cabrini,2069,8400.3,0.44
106,Starr Pass,1813,585.6,0.51
107,Stella Mann,4503,7308.9,0.24
108,Sunnyside,15450,5593.4,-0.02
109,Sunset Villa,1292,3660.1,0.35
110,Swan Way Park,1097,4372.3,-0.41
111,Terra Del Sol,4630,4637.9,0.26
112,Thunderbird Heights/Wilmot Desert Esta,955,3751,1.53
113,Tucson Park West #1,1198,8013.4,0.82
114,Vista Del Monte,1662,5508.8,-0.14
115,Wakefield,4733,7491.3,0.13
116,West University,4548,9125.2,0.05
117,Western Hills II,1072,5945.6,0.64
118,Wilshire Heights,337,3390.3,0.98
119,Rancho Perdido Estates,80,1694.9,2.1
120,Mesquite Ranch,1829,1465.2,-0.14
121,Desert Aire/Loma Linda,470,2548.8,0.05
122,Millville,255,540.3,0
123,Sombras Del Cerro,0,0,0
124,Rancho Buena,4545,8920.5,1.19
125,Rosemont East,226,3735.5,0.64
126,Udall Park,331,3495.2,0.68
127,Menlo Park,4867,2168.9,0.79
128,Silverbell Terrace,163,3292.9,1.27
129,Broadway Pantano East,5698,5712.9,0.74
130,Miles,871,4836.2,0.55
131,Sierra Estates,80,2826.9,-0.13
132,Silvercroft,329,3323.2,-0.2
133,Brichta,491,2726.3,0.54
134,Cherry Avenue,10092,8087.2,0.71
135,Fairgrounds,2284,3246.2,0.42
136,Bravo Park Lane,3611,6097.6,1.08
137,Feldman`s,2524,7375.8,0.57
138,Sugar Hill,1642,5206.1,0.97
139,Toumey Park,2374,8676.9,0.71
140,El Encanto Estates,333,1750.8,0.2
141,Colonia Solana,284,1126.5,0.43
142,Winterhaven,596,4613,0.64
143,Barrio Kroeger Lane,268,3138.2,0.37
144,Palo Verde Park,4164,4168.2,0.08
145,Aldea Linda,222,2799.5,0.05
146,St. Cyrils,2345,5374.7,0.74
147,Arcadia Rose,389,6264.1,0.54
148,Saguaro Canyon,644,5210.4,-0.07
149,Barrio Nopal,6018,6200.9,0.7
150,Santiago Hills,905,3271.9,0.11
151,Coronado Heights,1611,9226.8,-0.28
152,Harold Bell Wright Estates,979,4067.3,1.97
153,Carriage Park,7262,7255.5,0.47
154,Copper Vista,2401,9933.8,0.31
155,West Lamar City Acres,379,2521.6,-0.36
156,Loma Verde,488,4939.3,-0.26
157,Downtown,152,448.2,2.41
158,Barrio Santa Cruz,214,1363.1,0.68
159,Bonanza,5123,5100,0.16
