County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile
Morgan ,AL,15.9,23.1,6,44800,23764,15.7,119490,119607,0.1,206.3
Perry ,AL,17.9,22.4,5.5,28209,13716,25.6,10591,9826,-7.1,14.7
Pickens ,AL,17.8,20.5,5.2,28741,17153,27.2,19746,20365,3.1,22.4
Pike ,AL,14.1,19.4,5.7,33090,19715,27.6,32899,33389,1.5,48.9
Randolph ,AL,19.6,22,5.7,35213,19830,24.5,22913,22539,-1.6,39.5
Russell ,AL,12.5,25.3,7.6,36143,19678,22,52947,59608,12.6,82.6
St. Clair ,AL,15.3,23,6.1,50786,23872,15.2,83593,86697,3.7,132.3
Shelby ,AL,13,24.4,6,68770,33313,7.9,195085,206655,5.9,248.5
Sumter ,AL,16.3,19.7,4.8,22186,14156,38,13763,13166,-4.3,15.2
Talladega ,AL,16.1,22.3,5.5,35439,19410,22.9,82291,81322,-1.2,111.7
Tallapoosa ,AL,19.6,21.1,5.8,39130,21434,19.8,41616,41165,-1.1,58.1
Tuscaloosa ,AL,11.7,21.1,6,45408,22637,18.9,194656,202212,3.9,147.3
Walker ,AL,18.2,22.1,5.8,37566,20698,20.9,67023,65471,-2.3,84.7
Washington ,AL,17,22.5,4.9,42156,20395,18.4,17581,16834,-4.3,16.3
Wilcox ,AL,17.7,24.8,5.7,23642,13379,39.2,11670,11098,-4.9,13.1
Winston ,AL,20,20.9,5,32900,18995,24,24484,24150,-1.4,39.9
Aleutians East ,AK,6.6,10.1,2.8,61250,26535,16.7,3141,3360,7,0.4
Aleutians West ,AK,5.4,12.3,3.6,81853,31790,9.2,5561,5750,3.4,1.3
Anchorage Municipality,AK,8.9,24.9,7.4,77454,36214,7.9,291826,301010,3.1,171.2
Bethel ,AK,6.6,36.1,11.1,51689,18497,22.8,17013,17868,5,0.4
Bristol Bay ,AK,9.7,20.1,5.2,79531,37024,7.9,997,957,-4,2
Denali ,AK,8.5,18.8,4.7,72500,35295,11.4,1826,1921,5.2,0.1
Dillingham ,AK,7.9,31.9,11,54150,21498,18.1,4847,4988,2.9,0.3
Fairbanks North Star ,AK,8,24.1,7.7,69223,32143,8.4,97581,99357,1.8,13.3
Haines ,AK,16.8,19.1,3.7,52866,31096,7.8,2508,2566,2.3,1.1
Hoonah-Angoon ,AK,16.5,19.4,5.2,49545,28806,14.9,2150,2082,-3.1,0.3
Juneau,AK,10.6,22.1,5.9,81490,37558,6.2,31275,32406,3.6,11.6
Kenai Peninsula ,AK,14.2,23.1,6.4,61793,31256,8.6,55400,57477,3.7,3.4
Ketchikan Gateway ,AK,12.5,22.8,6.5,62519,31589,10.2,13477,13787,2.3,2.8
Kodiak Island ,AK,8.6,26,8,68718,28562,11.7,13592,13986,2.8,2.1
Lake and Peninsula ,AK,9,28.1,9.3,51786,21616,21.1,1631,1631,-0.2,0.1
Matanuska-Susitna ,AK,9.6,27.3,7.2,71037,29534,9.9,88995,97882,10,3.6
Nome ,AK,7.3,34.9,11.1,49974,20271,27.7,9492,9817,3.4,0.4
North Slope ,AK,4.8,25.8,8.6,80761,46457,10.3,9430,9703,2.9,0.1
Northwest Arctic ,AK,6.9,36.1,11.5,61607,21461,22,7523,7717,2.6,0.2
Petersburg ,AK,13.3,22.3,6.7,63934,34183,13.5,3815,3160,-1.5,1.2
Prince of Wales-Hyder ,AK,11.4,24.1,6.5,46071,24581,15.1,5559,6396,3.6,1.4
Sitka,AK,13.2,22.2,6.1,69405,32521,10,8881,8900,0.2,3.1
Skagway Municipality,AK,10.6,13.1,5.2,71667,37139,5.5,968,1036,7,2.1
Southeast Fairbanks ,AK,12,25.6,7.7,56801,29437,13.3,7029,6931,-1.4,0.3
Valdez-Cordova ,AK,10.1,24.5,7.1,74878,32579,8.3,9636,9488,-1.5,0.3
Wade Hampton ,AK,5.2,42,13.7,40176,11210,31.4,7459,8010,7.4,0.4
Wrangell,AK,17.9,20.3,4.8,45841,28474,9.5,2369,2364,0,0.9
Yakutat,AK,12.8,19.2,5.7,72500,34317,5.9,662,635,-4.1,0.1
Yukon-Koyukuk ,AK,13.3,27.8,8.3,34710,19729,24.2,5588,5547,-0.7,0
Apache ,AZ,13.5,29.3,7.6,31476,12709,36.2,71518,71828,0.4,6.4
Cochise ,AZ,19.9,22.4,6.5,45755,23608,17.1,131346,127448,-3,21.3
Coconino ,AZ,11.1,21.8,6.1,49555,23382,23,134421,137682,2.4,7.2
Gila ,AZ,26.6,20.4,5.7,39954,20792,21.6,53597,53119,-0.9,11.3
Graham ,AZ,12.3,28.3,7.7,44943,17168,22.3,37220,37957,2,8.1
Greenlee ,AZ,11.6,28.1,6.8,47992,20516,16,8437,9346,10.8,4.6
La Paz ,AZ,36.1,17.4,4.6,35776,22200,19.4,20489,20231,-1.3,4.6
Maricopa ,AZ,13.8,25.1,6.7,53596,27256,16.7,3817117,4087191,7.1,414.9
Mohave ,AZ,26.9,18.7,4.6,39200,20833,19.4,200186,203361,1.6,15
Navajo ,AZ,15.8,28,7.3,36927,16626,30.3,107449,108101,0.6,10.8
Pima ,AZ,17.7,21.9,5.9,45841,25269,19.2,980263,1004516,2.5,106.7
Pinal ,AZ,18,24.4,6,50027,20910,15.6,375770,401918,7,70
Santa Cruz ,AZ,15.8,28.3,7.3,37745,17664,26.3,47420,46695,-1.5,38.3
Yavapai ,AZ,28.1,17.4,4.1,42987,25186,15.8,211033,218844,3.7,26
Yuma ,AZ,17.4,26.2,7.5,41595,18840,20.2,195751,203247,3.8,35.5
Arkansas ,AR,17.5,23,6.8,39633,23045,15.8,19019,18594,-2.2,19.2
Ashley ,AR,18.4,23.6,6.5,35683,19761,18.9,21853,20948,-4.1,23.6
Baxter ,AR,30,17.8,4.4,35343,21334,15.5,41513,40857,-1.6,74.9
Benton ,AR,13,27,7.2,54515,26715,12.2,221339,242321,9.5,261.2
Boone ,AR,19.8,22.6,6,38506,22160,16.6,36903,37196,0.8,62.5
Bradley ,AR,18.3,23.4,6.9,30409,19386,31.3,11508,11148,-3.1,17.7
Calhoun ,AR,19.8,18.1,5,30980,17763,14.9,5368,5202,-3.1,8.5
Carroll ,AR,21.1,22.1,5.5,36584,20637,18.8,27446,27744,1.1,43.6
Chicot ,AR,19.2,23.2,6.7,26201,16538,33,11800,11180,-5.3,18.3
Clark ,AR,16.1,19.2,4.9,32721,17960,24.3,22995,22576,-1.8,26.6
Clay ,AR,21.4,20.4,4.3,31502,18509,20.2,16083,15118,-6,25.2
Cleburne ,AR,25.4,19.8,4.8,40246,23044,15.8,25970,25634,-1.3,46.9
Cleveland ,AR,19.1,23.4,5.1,39420,20622,17.7,8689,8449,-2.8,14.5
Columbia ,AR,16.6,21.6,5.8,35128,19439,25.4,24552,23933,-2.5,32.1
Conway ,AR,18.3,23.1,5.9,35225,20040,24,21273,21083,-0.9,38.5
Craighead ,AR,13,24.9,6.9,41393,23138,20.6,96443,102518,6.3,136.4
Crawford ,AR,15.3,25.1,6,39479,19477,20.2,61948,61697,-0.4,104.4
Crittenden ,AR,12.1,27.9,7.7,37751,19665,26.3,50902,49548,-2.7,83.5
Cross ,AR,17.6,24,6.9,38085,18701,17.4,17870,17227,-3.6,29
Dallas ,AR,20.5,22.3,5.5,28931,16838,19.7,8116,7755,-4.4,12.2
Desha ,AR,17.1,25.6,6.8,28680,19822,30.1,13008,12264,-5.7,16.9
Drew ,AR,16.1,22.4,6.3,31171,17057,28.5,18509,18622,0.6,22.3
Faulkner ,AR,11.2,23.9,6.6,50314,24401,14.6,113237,120768,6.7,174.8
Franklin ,AR,18,23.6,5.9,36766,19135,20.5,18125,17805,-1.8,29.8
Fulton ,AR,25.4,20.4,4.8,35522,19326,18.7,12245,12125,-1,19.8
Garland ,AR,21.7,20.9,5.7,39162,23170,20.7,96024,97322,1.4,141.7
Grant ,AR,16.1,23.5,5.7,49004,23239,9.9,17853,18144,1.6,28.3
Greene ,AR,15,24.6,6.6,38413,19652,17.1,42090,43694,3.8,72.9
Hempstead ,AR,16.3,26.4,7.3,32056,17376,27.4,22609,22327,-1.2,31.1
Hot Spring ,AR,17.2,21.6,5.3,41193,19286,14.2,32923,33368,1.4,53.5
Howard ,AR,16.9,26.1,6.9,35879,18707,23.2,13789,13500,-2.1,23.4
Independence ,AR,17,24,6.4,35026,20289,23.7,36647,36959,0.9,48
Izard ,AR,25,18.2,4.5,30661,18040,18.7,13696,13486,-1.5,23.6
Jackson ,AR,16.7,20.4,5.6,30284,15609,28.4,17997,17534,-2.6,28.4
Jefferson ,AR,15.1,23.3,6.2,37140,19353,23.9,77435,72297,-6.6,88.9
Johnson ,AR,15.8,24.8,7.1,31003,19366,20.1,25540,26005,1.8,38.7
Lafayette ,AR,21.5,20.2,4.7,29732,17212,24.1,7645,7111,-7,14.5
Lawrence ,AR,19.3,22.6,5.6,32239,15971,25.4,17415,16931,-2.8,29.6
Lee ,AR,16.7,19.6,5.4,25034,12529,31.5,10424,9860,-5.4,17.3
Lincoln ,AR,13.5,17.8,4.4,32697,15023,27,14134,13970,-1.2,25.2
Little River ,AR,19.5,22.2,5.3,39673,19880,14,13171,12532,-4.8,24.7
Logan ,AR,19.2,22.4,5.6,34996,19046,17.6,22353,21958,-1.8,31.6
Lonoke ,AR,12.6,26.4,6.7,52582,23218,13.2,68356,71557,4.7,88.7
Madison ,AR,17.5,23.5,6.2,35771,18754,22.6,15717,15740,0.1,18.8
Marion ,AR,26.8,17.3,4.4,34494,18188,18.9,16653,16367,-1.7,27.9
Miller ,AR,15.2,24.1,7,41319,20636,19.5,43462,43428,-0.1,69.5
Mississippi ,AR,13.4,26.7,7,36428,18905,24.9,46480,44235,-4.8,51.6
Monroe ,AR,20.3,21.2,5.8,27263,16939,28.8,8149,7582,-7,13.4
Montgomery ,AR,25.4,19.2,4.3,31345,19021,22,9487,9082,-4.3,12.2
Nevada ,AR,19.4,22.7,6.4,33694,18695,26.5,8997,8723,-3,14.6
Newton ,AR,24.3,19.5,4.8,30038,17884,23.5,8330,7904,-5.1,10.1
Ouachita ,AR,18.3,23,6.2,32015,18975,23.1,26120,24828,-5,35.6
Perry ,AR,17.9,22.1,5.2,42455,22047,15.6,10445,10245,-1.9,18.9
Phillips ,AR,16.3,27.2,8,26737,16830,33.5,21757,19930,-8.4,31.3
Pike ,AR,18.6,22.8,5.8,32206,18377,24.8,11291,11024,-2.4,18.8
Poinsett ,AR,17.1,23.7,6.4,32089,16919,28.1,24583,24246,-1.4,32.4
Polk ,AR,21.7,23.4,5.9,32835,19116,23.1,20662,20225,-2.1,24.1
Pope ,AR,14.4,22.8,6.2,40453,19918,19.3,61754,63201,2.3,76
Prairie ,AR,22,20.2,5,34855,18137,21.2,8715,8304,-4.7,13.4
Pulaski ,AR,13.5,23.7,7,46013,27414,17.2,382748,392702,2.6,503.8
Randolph ,AR,19.9,22.5,5.7,34418,18871,21.8,17969,17571,-2.2,27.6
St. Francis ,AR,13.9,22.5,6.4,30873,15511,28.4,28258,26899,-4.8,44.5
Saline ,AR,17.1,23.8,6,55348,25962,8.6,107118,115719,8,148
Scott ,AR,18.7,23.6,5.7,37448,18934,20,11233,10693,-4.8,12.6
Searcy ,AR,23.6,20.3,5,30779,16731,26.1,8195,7929,-3.2,12.3
Sebastian ,AR,14.5,24.5,6.8,40471,23222,21.2,125744,126776,0.8,236.4
Sevier ,AR,13.6,28.8,7.7,35153,16021,24.4,17058,17426,2.2,30.2
Sharp ,AR,25.7,20.4,5.2,30861,16714,23.9,17264,16906,-2.1,28.6
Stone ,AR,25.4,20.1,4.9,29832,17403,25.5,12394,12494,0.8,20.4
Union ,AR,16.6,23.9,6.5,37435,20718,21.5,41639,40227,-3.4,40.1
Van Buren ,AR,24.6,19.7,4.9,32517,18782,24.5,17295,16851,-2.6,24.4
Washington ,AR,10.7,25.3,7.4,41248,23264,20.7,203065,220792,8.7,215.6
White ,AR,15.1,23.8,6.5,42487,21793,17.5,77076,78592,2,74.5
Woodruff ,AR,21.2,21.9,5.7,28259,19087,24.3,7260,6910,-4.9,12.4
Yell ,AR,17.1,25.1,6.5,35535,16992,22.7,22185,21951,-1.1,23.9
Alameda ,CA,12.5,21.4,6.1,72112,35763,12.5,1510271,1610921,6.7,2043.6
Alpine ,CA,21.1,20,3.3,58636,25527,16.6,1175,1116,-5,1.6
Amador ,CA,25.1,15.3,3.7,53684,27347,12.6,38091,36742,-3.5,64.1
Butte ,CA,17,20.2,5.4,43752,23787,20.4,220000,224241,1.9,134.4
Calaveras ,CA,25.1,17.7,3.9,55295,29329,10.9,45578,44624,-2.1,44.7
Colusa ,CA,13.1,28,7.4,52158,21579,12.5,21419,21419,0,18.6
Contra Costa ,CA,14.2,23.4,5.8,78756,38219,10.5,1049025,1111339,5.9,1465.2
Del Norte ,CA,15.6,21.2,5.8,37909,19072,21.8,28610,27212,-4.9,28.4
El Dorado ,CA,18,20.9,4.4,69297,34884,9,181058,183087,1.1,106
Fresno ,CA,11.2,28.9,8.3,45563,20208,26,930450,965974,3.8,156.2
Glenn ,CA,14.9,26.7,7,43023,22148,18.8,28122,27955,-0.6,21.4
Humboldt ,CA,15.4,19.5,5.4,41426,23540,20.4,134623,134809,0.1,37.7
Imperial ,CA,12,28.5,8.3,41807,16763,23.3,174528,179091,2.6,41.8
Inyo ,CA,21.4,20.6,6,44796,27441,12.8,18546,18410,-0.7,1.8
Kern ,CA,9.9,29.4,8.4,48552,20295,22.9,839631,874589,4.2,103.3
Kings ,CA,9.1,27.5,7.9,48133,18429,21,152982,150269,-1.8,110.1
Lake ,CA,20.6,20.4,5.8,36548,21537,25,64665,64184,-0.7,51.5
Lassen ,CA,12.5,17,4.5,53107,19931,16.9,34895,31749,-9,7.7
Los Angeles ,CA,12.2,22.8,6.4,55909,27749,17.8,9818605,10116705,3,2419.6
Madera ,CA,12.8,27.6,7.5,45625,17847,22.8,150865,154548,2.4,70.6
Marin ,CA,19.4,20.5,4.8,90839,56791,7.7,252409,260750,3.3,485.1
Mariposa ,CA,24.5,16.7,4.4,49820,26988,16.1,18251,17682,-3.1,12.6
Mendocino ,CA,18.9,21.9,6.2,43469,23306,20,87841,87869,0,25.1
Merced ,CA,10.5,30,8.1,42591,18177,25.4,255793,266353,4.1,132.2
Modoc ,CA,23.2,20.1,4.7,36212,21200,21,9686,9023,-6.8,2.5
Mono ,CA,11.8,19.5,5,61757,28046,8.5,14202,13997,-1.4,4.7
Monterey ,CA,12,26.4,7.7,59168,24775,17,415057,431344,3.9,126.5
Napa ,CA,16.8,21.8,5.4,70443,34795,10.1,136484,141667,3.8,182.4
Nevada ,CA,23.4,17.8,4.2,57353,32346,12,98764,98893,0.1,103.1
Orange ,CA,13.1,23,6.1,75422,34057,12.4,3010232,3145515,4.5,3807.7
Placer ,CA,17.8,22.9,5.4,72725,34886,8.7,348432,371694,6.7,247.6
Plumas ,CA,24.7,17.2,4.4,45794,29806,15.2,20007,18606,-7,7.8
Riverside ,CA,13.2,26.3,6.8,56529,23591,16.2,2189641,2329271,6.4,303.8
Sacramento ,CA,12.8,24.4,6.7,55064,26739,17.6,1418788,1482026,4.5,1470.8
San Benito ,CA,11.4,26.8,6.7,66237,25914,11.9,55269,58267,5.4,39.8
San Bernardino ,CA,10.3,27.2,7.3,54090,21332,18.7,2035210,2112619,3.8,101.5
San Diego ,CA,12.7,22.3,6.6,62962,30668,14.4,3095313,3263431,5.4,735.8
San Francisco ,CA,14.4,13.4,4.6,75604,48486,13.5,805235,852469,5.9,17179.1
San Joaquin ,CA,11.8,27.8,7.3,53380,22589,18.2,685306,715597,4.4,492.6
San Luis Obispo ,CA,17.5,18.1,4.8,58697,29954,14.3,269637,279083,3.5,81.7
San Mateo ,CA,14.7,21.5,6.1,88202,45732,7.6,718451,758581,5.6,1602.2
Santa Barbara ,CA,14,22.4,6.4,62779,30352,16,423895,440668,3.9,155
Santa Clara ,CA,12.2,23.1,6.5,91702,41513,10.2,1781642,1894605,6.3,1381
Santa Cruz ,CA,13.5,20.1,5.6,66519,32295,14.6,262382,271804,3.6,589.4
Shasta ,CA,19.2,21.6,5.8,44651,23670,17.5,177223,179804,1.5,46.9
Sierra ,CA,26.8,15.7,3.3,39009,24996,19.4,3240,3003,-7.3,3.4
Siskiyou ,CA,22.7,20.3,5.4,37709,22293,21,44900,43628,-2.8,7.2
Solano ,CA,13.5,22.9,6,67177,28929,13,413344,431131,4.3,503
Sonoma ,CA,16.7,20.6,5.3,63356,32835,11.9,483878,500292,3.4,307.1
Stanislaus ,CA,12.1,27.3,7.3,49297,21663,20.3,514453,531997,3.4,344.2
Sutter ,CA,14.5,26.4,6.7,50408,23602,16.7,94737,95847,1.2,157.3
Tehama ,CA,17.8,24,6.2,41924,20439,19.7,63463,63067,-0.6,21.5
Trinity ,CA,24,16.9,4.9,36890,22905,19.2,13786,13170,-4.5,4.3
Tulare ,CA,10.4,31.6,8.9,42708,17894,26.2,442179,458198,3.6,91.7
Tuolumne ,CA,23.5,16.8,4.2,48426,25943,14.5,55365,53831,-2.8,24.9
Ventura ,CA,13.6,24.2,6.4,76544,32930,11.1,823318,846178,2.8,446.7
Yolo ,CA,11.5,21.7,5.8,55918,27730,19.1,200849,207590,3.4,197.9
Yuba ,CA,11.4,27.8,8.1,44902,19244,21.6,72155,73966,2.5,114.2
Adams ,CO,9.6,27.7,7.6,56270,24195,14.2,441603,480718,8.8,378.2
Alamosa ,CO,12.6,23.9,7.7,34520,19487,26.5,15445,16177,4.7,21.4
Arapahoe ,CO,11.9,24.5,6.5,60651,32595,12.1,572003,618821,8.2,716.7
Archuleta ,CO,22.9,18.3,4.9,48933,29793,9.7,12084,12244,1.3,8.9
Baca ,CO,25.7,21.3,6.6,38829,22318,15.2,3788,3645,-3.8,1.5
Bent ,CO,16.9,16.2,3.7,37340,15081,19.1,6499,5630,-13.4,4.3
Boulder ,CO,12.2,20.3,5,67956,38011,14.2,294567,313333,6.4,405.6
Broomfield ,CO,12.2,24.7,6,77998,37442,7.1,55889,62138,11.2,1691.9
Chaffee ,CO,23,15.8,4,46504,27182,8,17809,18363,3.1,17.6
Cheyenne ,CO,18.2,25,8.3,51641,23647,7.2,1836,1871,1.9,1
Clear Creek ,CO,17.9,15.4,3.8,67259,41716,10.2,9088,9187,1.1,23
Conejos ,CO,17.4,27.1,6.5,34526,17316,19.4,8256,8265,0.1,6.4
Costilla ,CO,25.8,18.2,3.9,29145,20742,22.2,3524,3568,1.2,2.9
Crowley ,CO,13,14.3,4.3,31477,17187,29.1,5823,5360,-8,7.4
Custer ,CO,29,14.6,2.5,32427,25761,14.6,4255,4361,2.5,5.8
Delta ,CO,23.5,20.9,5.1,42078,24771,15.5,30952,29870,-3.5,27.1
Denver ,CO,10.9,20.9,6.8,50313,33251,19.1,600158,663862,10.6,3922.6
Dolores ,CO,22,20.4,4.9,37750,22880,14.9,2064,1978,-4.2,1.9
Douglas ,CO,9.9,28.3,6.3,101591,43634,3.9,285465,314638,10.2,339.7
Eagle ,CO,8.1,23.2,6.1,74456,39497,10.9,52197,52921,1.4,31
Elbert ,CO,13.9,22.5,3.9,82118,36077,6.5,23086,24195,4.8,12.5
El Paso ,CO,11.5,25.1,6.9,57125,28867,12.4,622263,663519,6.6,292.6
Fremont ,CO,20.3,16.5,4,39943,18954,17.6,46824,46502,-0.7,30.5
Garfield ,CO,10.7,25.9,7.1,57022,26603,11.9,56389,57461,1.9,19.1
Gilpin ,CO,13.2,18.7,3.8,63885,38022,10.8,5441,5851,7.5,36.3
Grand ,CO,13.9,18.4,4.2,64664,31684,11.1,14843,14546,-2,8
Gunnison ,CO,11.2,17.9,4.8,52332,27654,17.7,15324,15725,2.6,4.7
Hinsdale ,CO,25.7,18.7,6.2,56667,36365,5.1,843,786,-6.8,0.8
Huerfano ,CO,29.7,15.5,3.8,33298,24058,20.6,6711,6462,-3.7,4.2
Jackson ,CO,20.9,17.8,3.4,43606,25936,8.9,1394,1396,0.1,0.9
Jefferson ,CO,14.7,20.9,5.3,68984,36087,8.6,534543,558503,4.5,699.5
Kiowa ,CO,24.1,20.5,6.4,40813,22482,17.4,1398,1402,0.3,0.8
Kit Carson ,CO,17.2,22.5,6.2,44157,21850,13.8,8270,8072,-2.4,3.8
Lake ,CO,11,23.1,6.5,44610,25029,14.3,7310,7357,0.6,19.4
La Plata ,CO,14.2,19.4,5.1,58080,30151,11.4,51334,53989,5.2,30.3
Larimer ,CO,13.9,20.5,5.4,58626,30740,14.1,299630,324122,8.2,115.4
Las Animas ,CO,22.3,19,5.1,42261,22180,17.8,15507,14052,-9.4,3.2
Lincoln ,CO,17.4,19.7,5.6,41910,19703,13.7,5467,5510,0.7,2.1
Logan ,CO,15.7,18.8,5,40415,22581,17.6,22709,22524,-0.8,12.4
Mesa ,CO,16.9,22.4,6.3,49471,26700,14.7,146723,148255,1,44.1
Mineral ,CO,26.5,12.6,4.7,47083,42255,6.4,712,698,-2,0.8
Moffat ,CO,12.9,25.9,6.9,53231,24577,11.5,13795,12928,-6.3,2.9
Montezuma ,CO,19.1,22.7,6.2,43188,23548,19.3,25535,25772,0.9,12.6
Montrose ,CO,21.3,22.5,5.6,45718,22897,16,41276,40873,-1,18.4
Morgan ,CO,15.4,26.4,7.6,43774,20680,13.3,28159,28328,0.6,22
Otero ,CO,19,24.3,6.5,33848,19078,25.2,18831,18488,-1.8,14.9
Ouray ,CO,24.6,17,3.4,64601,33015,5.6,4436,4629,4.4,8.2
Park ,CO,16.2,16.7,3.7,61570,31504,9.1,16206,16345,0.9,7.4
Phillips ,CO,20.8,24,6.1,43011,20720,19.9,4442,4363,-1.8,6.5
Pitkin ,CO,15.6,16.3,3.7,72745,51814,10.1,17148,17626,2.8,17.7
Prowers ,CO,16.1,26.2,6.9,34391,18941,23.3,12551,12034,-4.1,7.7
Pueblo ,CO,17.1,23.2,6,41777,21940,19.1,159063,161875,1.8,66.7
Rio Blanco ,CO,13.7,24.6,6.8,60128,27586,14.9,6666,6707,0.6,2.1
Rio Grande ,CO,18.6,23.9,6.3,38993,20557,19.2,11982,11607,-3.1,13.1
Routt ,CO,12.3,19.2,4.4,62002,34873,9.1,23509,23865,1.5,10
Saguache ,CO,18.9,22.5,6.4,34600,20726,24.7,6108,6196,1.4,1.9
San Juan ,CO,20.4,13.6,2.1,39583,24711,17.1,699,720,3,1.8
San Miguel ,CO,10.4,18.9,4.7,63594,40827,10.6,7359,7840,6.5,5.7
Sedgwick ,CO,24.4,20.3,5.2,40221,21536,18.9,2379,2348,-1.3,4.3
Summit ,CO,10.8,16.3,4.6,63697,34025,13.7,27994,29404,5,46
Teller ,CO,18,18.5,3.8,59040,31075,7,23350,23389,0.2,41.9
Washington ,CO,20.8,22,5.1,44683,24977,13.1,4814,4780,-0.7,1.9
Weld ,CO,11.1,26.9,7.3,57180,25468,14.7,252825,277670,9.8,63.4
